embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
41582	PER	Rodesa	Rodesa	Rodesa	
41595,41596,41597	LOC	Cabo al Carro	Cabo al Carro	Cabo al Carro	
41646	LOC	Canada	Canadá	Canadá	
41648,41649	LOC	Nuena elanda	Nuena elanda	Nuena elanda	
41651,41652,41653	LOC	Arica del Sur	África del Sur	África del Sur	
41656,41657	LOC	Estados Unidos	Estados Unidos	Estados Unidos	
41675	PER	Rhodes	Rhodes	Cecil Rhodes	Q19825
41704	LOC	Auánico	Auánico	Auánico	
41770	MISC	Conano	Conano	Conano	
41785,41786	ORG	Estados Unidos	Estados Unidos	Estados Unidos	
41828	PER	Rodes	Rodes	Rodes	
41874	PER	Rhodes	Rhodes	Cecil Rhodes	Q19825
41914	PER	Rhodes	Rhodes	Cecil Rhodes	Q19825
41941,41942	ORG	Universidad de	Universidad	Universidad	
41962	PER	Rhodes	Rhodes	Cecil Rhodes	Q19825
42003	LOC	almania	Alemania	Alemania	
42033,42034,42035,42036,42037	ORG	Asociación Nacional de Mujeres Médicos	Asociación Nacional de Mujeres Médicos	Asociación Nacional de Mujeres Médicos	
42050	LOC	Francia	Francia	Francia	
42058	LOC	Europa	Europa	Europa	
42069,42070	ORG	CRUZ ROIA	Cruz Roja	Cruz Roja	
42072	LOC	SERVIA	Servia	Servia	
42087,42088	ORG	Cruz RolaAmericana	Cruz RolaAmericana	Cruz RolaAmericana	
42101,42102,42103,42104,42105,42106	ORG	Hospital de Mujeres de Nueva yo	Hospital de Mujeres de Nueva yo	Hospital de Mujeres de Nueva yo	
42111	LOC	servia	Servia	Servia	
42113	LOC	Montenegro	Montenegro	Montenegro	
42118,42119	PER	REINA LATSEPSUT	REINA LATSEPSUT	Reina Latsepsut	
42149	LOC	Punla	Punla	Punla	
42151	LOC	Somallandia	Somallandia	Somallandia	
42170	MISC	SOL	Sol	Sol	
42175	PER	Thvi	Thvi	Thvi	
42184	MISC	lla	lla	lla	
42200	LOC	Esipto	Esipto	Esipto	
42207	MISC	Sol	Sol	Sol	
42212,42213	PER	Ameotes IV	Ameotes IV	Ameotes IV	
42222,42223,42224	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
42226,42227,42228,42229	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
42237	MISC	Sol	Sol	Sol	
42259,42260	PER	FEDERICO SANTANDER	FEDERICO SANTANDER	Federico Santander Ruiz-Giménez	Q122665777
42322	PER	Rustin	Rustin	Jean Rustin	Q602798
42400	PER	Goethe	Goethe	Johann Wolfgang von Goethe	Q5879
42570,42571	LOC	Estados Unidos	Estados Unidos	Estados Unidos	
42575	LOC	Chiago	Chiago	Chiago	
42622	ORG	Canada	Canadá	Canadá	
42650	LOC	Mediteranco	Mediterrráneo	Mediterrráneo	
42658	LOC	Fos	Fos	Fos	
42708	LOC	Mediteraneo	Mediterrráneo	Mediterrráneo	
42716	MISC	Serapis	Serapis	Serapis	
42728	LOC	Sanseviera	Sanseviera	Sanseviera	
42739	LOC	Bretaña	Bretaña	Bretaña	
42790	MISC	HAERODORACIAS	HAERODORACIAS	Haerodoracias	
42795	MISC	Livideas	Livideas	Livideas	
42812	PER	Sansenero	Sansenero	Sansenero	
42859,42860,42861	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
42867,42868,42869,42870	MISC	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
42907,42908	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
42911	LOC	Antillas	Patillas	Patillas	
42922	LOC	América	América	América	
42925	MISC	piera	piera	piera	
42932	LOC	Africa	África	África	
42942	MISC	Henequén	Henequén	Henequén	
42944,42945	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
42984,42985,42986,42987,42988,42989,42990	MISC	Plama de Sana Teresa SANGEVIENA ALOINA L.	Plama de Sana Teresa SANGEVIENA ALOINA L.	Plama de Sana Teresa SANGEVIENA ALOINA L.	
42993	LOC	Africa	África	África	
43003,43004,43005	MISC	Lengua de paca	Lengua de paca	Lengua de paca	
43007,43008	MISC	Hierba bruia	Hierba bruia	Hierba bruia	
