embedding	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
10511	LOC	Manila	Manila	Manila	
10539	LOC	Manila	Manila	Manila	
10928	LOC	GUANAJUATO	Guanajuato	Guanajuato	
10944,10945,10946	PER	PETER M. MYERS.	Peter M. Myers	Peter M. Myers	
10959	LOC	Guanajuato	Guanajuato	Guanajuato	
11013	LOC	Guanajnato	Guanajuato	Guanajuato	
11268,11269,11270,11271	MISC	LA PUERTA DEL SOL	Puerta del Sol	Puerta del Sol	
11612,11613	PER	CARMEN FARIÑAS	CARMEN FARIÑAS	Carmen Fariñas	
11746	LOC	León	León	León	
11748	LOC	Querétaro	Querétaro	Querétaro	
11764	LOC	Guanajuato	Guanajuato	Guanajuato	
12745	PER	CANTU	CANTU	Cesare Cantù	Q138832
12770	PER	TABOLI	TABOLI	Taboli	
12815	PER	MANTEGAZZA	MANTEGAZZA	Giacomo Mantegazza	Q38084293
12839	PER	Dios	Dios	Dios	Q190
12871	PER	Dios	Dios	Dios	Q190
12881	PER	AGRIPA	AGRIPA	Marco Vipsanio Agripa	Q48174
12904	PER	CHESTERFIELD	CHESTERFIELD	Philip Stanhope, 4º Conde de Chesterfield	Q332487
12918	PER	SCHILLER	SCHILLER	Friedrich Schiller	Q22670
12937	PER	Dios	Dios	Dios	Q190
12961,12962,12963	PER	— VICTOR HUGO.	Víctor Hugo	Виктор Гюго	Q535
13198	LOC	FILIPINAS	Filipinas	Filipinas	
13213	LOC	Guanajuato	Guanajuato	Guanajuato	
13254	LOC	Guanajuato	Guanajuato	Guanajuato	
13562	ORG	Pátria	Patria	Patria	
13605,13606,13607	MISC	E. Z. SLEEP	E. Z. SLEEP	E. Z. Sleep	
13997,13998,13999	PER	MARIA DEL PILAR	MARIA DEL PILAR	Maria del Pilar	
14147,14148	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
14158	LOC	FILIPINAS	Filipinas	Filipinas	
14163,14164	PER	FRANCISCA GESMUNDO	Francisca Gesmundo	Francisca Gesmundo	
14173	LOC	Manila	Manila	Manila	
14198	LOC	Manila	Manila	Manila	
14592	LOC	España	España	España	
14618	LOC	Teruel	Teruel	Teruel	
14626,14627,14628	PER	Agustina de Aragón	Agustina de Aragón	Agustina de Aragón	Q718272
14631,14632,14633	PER	condesa de Bureta	condesa de Bureta	María Consolación de Azlor y Villavicencio	Q5782528
14651	PER	Judith	Judith	Judit	Q26454627
14673	LOC	Alquézar	Alquézar	Alquézar	
14825,14826	LOC	Alto Aragón	Alto Aragón	Alto Aragón	
14873	LOC	Huesca	Huesca	Huesca	
14880	LOC	Barbastro	Barbastro	Barbastro	
14941	MISC	FILIPINAS	Filipinas	Filipinas	
15283	MISC	Humanidad	Humanidad	Humanidad	
15458	LOC	Alquezar	Alquézar	Alquézar	
15467	LOC	Alquézar	Alquézar	Alquézar	
15518	PER	Almostaín	Almostaín	Almostaín	
15523	LOC	Zaragoza	Zaragoza	Zaragoza	
15592	LOC	Alquézar	Alquézar	Alquézar	
15784,15785	PER	CARMEN FARIÑAS	CARMEN FARIÑAS	Carmen Fariña	Q16241640
15815,15816	LOC	LA ESPERANZA	La Esperanza	La Esperanza	
15820	MISC	FILIPINAS	Filipinas	Filipinas	
15835	PER	ANGELA	Ángela	Ángela	
15844,15845	MISC	San Damián	San Damián	San Damián	
16090	PER	Bathala	Bathala	Bathala	Q810727
16097	LOC	Banajaw	Banajaw	Banajaw	
16108	PER	Puccini	Puccini	Giacomo Puccini	Q7311
16110	PER	Verdi	Verdi	Giuseppe Verdi	Q7317
16112	PER	Donizetti	Donizetti	Gaetano Donizetti	Q101698
16114	PER	Mozart	Mozart	Wolfgang Amadeus Mozart	Q254
16166	LOC	Mate	Mate	Mate	
16168	LOC	Tayabas	Tayabas	Tayabas	
16176,16177,16178	ORG	Club Escolar Tayabense	Club Escolar Tayabense	Club Escolar Tayabense	
